n12,n21,p12,p21,a12,a21,bin
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,11.11,12.5,0
0.0,0.0,0.0,0.0,12.5,14.29,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,14.29,16.67,0
0.0,0.0,0.0,0.0,16.67,10.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,33.33,0.0,0.0,11.11,12.5,0
50.0,33.33,0.0,0.0,11.11,20.0,0
33.33,50.0,0.0,0.0,12.5,12.5,0
33.33,50.0,0.0,0.0,12.5,14.29,0
50.0,33.33,0.0,0.0,20.0,8.33,0
33.33,33.33,0.0,0.0,25.0,5.88,0
33.33,33.33,0.0,0.0,12.5,8.33,0
25.0,50.0,0.0,0.0,10.0,9.09,0
25.0,33.33,0.0,0.0,11.11,11.11,0
33.33,50.0,0.0,0.0,12.5,14.29,0
50.0,33.33,0.0,0.0,9.09,14.29,0
50.0,33.33,0.0,0.0,9.09,12.5,0
33.33,33.33,0.0,0.0,11.11,8.33,0
50.0,33.33,0.0,0.0,33.33,12.5,0
50.0,33.33,0.0,0.0,11.11,12.5,0
50.0,33.33,0.0,0.0,22.22,25.0,0
50.0,33.33,0.0,0.0,11.11,12.5,0
50.0,33.33,0.0,0.0,10.0,12.5,0
33.33,50.0,0.0,0.0,12.5,14.29,0
33.33,33.33,0.0,0.0,12.5,12.5,0
100.0,100.0,100.0,100.0,40.0,25.0,1
100.0,100.0,100.0,33.33,20.0,14.29,1
33.33,100.0,100.0,33.33,44.44,44.44,1
33.33,100.0,100.0,33.33,44.44,44.44,1
33.33,100.0,100.0,33.33,44.44,44.44,1
100.0,100.0,100.0,50.0,12.5,8.33,1
25.0,50.0,100.0,33.33,25.0,14.29,1
100.0,33.33,100.0,50.0,33.33,16.67,1
20.0,100.0,100.0,50.0,40.0,14.29,1
100.0,100.0,100.0,100.0,40.0,25.0,1
0.0,0.0,100.0,20.0,0.0,0.0,1
100.0,100.0,100.0,33.33,71.43,38.46,1
100.0,100.0,100.0,50.0,37.5,30.0,1
100.0,100.0,100.0,50.0,15.38,28.57,1
100.0,100.0,100.0,50.0,15.38,28.57,1
100.0,100.0,100.0,100.0,0.0,0.0,1
100.0,100.0,100.0,100.0,0.0,0.0,1
20.0,100.0,100.0,50.0,40.0,14.29,1
100.0,100.0,100.0,100.0,10.0,10.0,1
0.0,0.0,100.0,33.33,50.0,25.0,1
0.0,0.0,100.0,100.0,50.0,50.0,1
0.0,0.0,100.0,100.0,50.0,50.0,1
0.0,0.0,100.0,100.0,50.0,50.0,1
100.0,33.33,100.0,50.0,33.33,16.67,1
100.0,50.0,100.0,50.0,0.0,0.0,1
100.0,50.0,100.0,50.0,50.0,20.0,1
100.0,100.0,100.0,100.0,40.0,25.0,1
33.33,100.0,100.0,33.33,44.44,44.44,1
33.33,100.0,100.0,33.33,44.44,44.44,1
33.33,100.0,100.0,33.33,44.44,44.44,1
100.0,33.33,100.0,50.0,33.33,16.67,1
20.0,100.0,100.0,50.0,40.0,14.29,1
100.0,100.0,100.0,100.0,40.0,25.0,1
100.0,100.0,100.0,33.33,71.43,38.46,1
100.0,100.0,100.0,50.0,37.5,30.0,1
20.0,100.0,100.0,50.0,40.0,14.29,1
100.0,33.33,100.0,50.0,33.33,16.67,1
100.0,50.0,100.0,50.0,50.0,20.0,1
0.0,0.0,0.0,0.0,9.09,12.5,0
0.0,0.0,0.0,0.0,36.36,36.36,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,9.09,12.5,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,18.18,28.57,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,10.0,10.0,0
0.0,0.0,0.0,0.0,22.22,20.0,0
0.0,0.0,0.0,0.0,16.67,11.11,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,36.36,50.0,0
0.0,0.0,0.0,0.0,16.67,28.57,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
33.33,100.0,0.0,0.0,8.33,20.0,0
33.33,33.33,0.0,0.0,16.67,12.5,0
33.33,50.0,0.0,0.0,8.33,9.09,0
33.33,50.0,0.0,0.0,11.11,9.09,0
33.33,50.0,0.0,0.0,22.22,25.0,0
50.0,25.0,0.0,0.0,30.0,42.86,0
33.33,50.0,0.0,0.0,33.33,27.27,0
33.33,50.0,0.0,0.0,11.11,11.11,0
33.33,50.0,0.0,0.0,11.11,9.09,0
33.33,50.0,0.0,0.0,50.0,27.27,0
33.33,50.0,0.0,0.0,8.33,9.09,0
